Name,Price,Rate,Detail,URL
Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,"₹1,299",3.7,"Black, True Wireless",https://www.flipkart.com/boult-audio-airbass-gearpods-32h-playtime-bluetooth-headset/p/itm116c0c010d463?pid=ACCG6HMH8MFR5XXK&lid=LSTACCG6HMH8MFR5XXKZGTPPC&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_1&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVHjaMP3alV0%2FYZmBNdOkQRTTZXlxMHbIZLcezR%2BXwjN7w%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Boult Audio ProBass Curve Neckband Bluetooth Headset,₹899,4,"Black, Grey, In the Ear",https://www.flipkart.com/boult-audio-probass-curve-neckband-bluetooth-headset/p/itm3e1f7accb87d7?pid=ACCFEZ99MFMDR8CM&lid=LSTACCFEZ99MFMDR8CMN8CYUU&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_2&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVGQan2UvFxZsL9xWVkD%2Fi4UXsj%2BUA%2FaDRK%2B5ogu9JzWAA%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Qua...",₹999,4.2,"Black, In the Ear",https://www.flipkart.com/wings-phantom-850-wireless-earbuds-50-hrsplaytime-quad-enc-mic-app-support-bluetooth-gaming-headset/p/itm6a5396eebf6de?pid=ACCGJNV3VM8VZHHC&lid=LSTACCGJNV3VM8VZHHC6EPL36&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=TrendingId_0pm%2Ffcn&srno=s_1_3&otracker=search&fm=organic&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGJNV3VM8VZHHC.SEARCH&ppt=sp&ppn=sp&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics EN...","₹1,499",3.5,"Carbon Black, True Wireless",https://www.flipkart.com/boat-airdopes-atom-83-50hrs-playback-quad-mics-enx-technology-beast-mode-bluetooth-headset/p/itm942a1b95b3bcd?pid=ACCGK7UN9BNTPFFE&lid=LSTACCGK7UN9BNTPFFEXRDKEO&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_4&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGK7UN9BNTPFFE.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics EN...","₹1,499",4.2,"Bold Blue, True Wireless",https://www.flipkart.com/boat-airdopes-atom-83-50hrs-playback-quad-mics-enx-technology-beast-mode-bluetooth-headset/p/itmc235e8b6abc61?pid=ACCGK7UNAMF9PSG8&lid=LSTACCGK7UNAMF9PSG8FAD6C3&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_5&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGK7UNAMF9PSG8.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime,...","₹1,499",4.3,"Blue, In the Ear",https://www.flipkart.com/boult-audio-airbass-z40-zen-enc-mic-60h-playtime-low-latency-bluetooth-headset/p/itm0b9d7c3aca9ad?pid=ACCGKXHYHMJBZPU3&lid=LSTACCGKXHYHMJBZPU3NAEELP&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_6&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGKXHYHMJBZPU3.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,999",4.2,"Acoustic Red, In the Ear",https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth-headset/p/itm4c3852314bb61?pid=ACCGF4JZHYTERVTY&lid=LSTACCGF4JZHYTERVTYYAP0K1&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_7&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGF4JZHYTERVTY.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Ggkart SMRT-K1W-01 Bluetooth Headset Bluetooth Headset,₹241,3.4,"White, True Wireless",https://www.flipkart.com/ggkart-smrt-k1w-01-bluetooth-headset/p/itm3aa0db5a9bceb?pid=ACCGFFPS8SC9GPHM&lid=LSTACCGFFPS8SC9GPHMDVYKFX&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_8&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVEIp9MINtD5DBWZmPn6xx6ADKYH%2FDlr0TQg5EpFTRrxFA%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,999",4.2,"Beam Blue, In the Ear",https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth-headset/p/itm7326ce69c6b07?pid=ACCGC4GNTHDWZJRA&lid=LSTACCGC4GNTHDWZJRAEAYS3M&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_9&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGC4GNTHDWZJRA.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,999",4.2,"Midnight, True Wireless",https://www.flipkart.com/oppo-enco-buds-2-28-hours-battery-life-deep-noise-cancellation-bluetooth-headset/p/itm3344fa26518ed?pid=ACCGH7YZY6AHGCHJ&lid=LSTACCGH7YZY6AHGCHJHLWF41&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_10&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGH7YZY6AHGCHJ.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...","₹1,999",4,"Magico Black, In the Ear",https://www.flipkart.com/oneplus-bullets-wireless-z2-fast-charge-30-hrs-battery-life-earphones-mic-bluetooth-headset/p/itm1b9cd98911a2a?pid=ACCGC4GN5SQR7ZCZ&lid=LSTACCGC4GN5SQR7ZCZQKBRXO&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_11&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGC4GN5SQR7ZCZ.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Ggkart BM K1 BLACK Bluetooth Headset Pack of 2 Bluetoot...,₹353,4.2,"Black, In the Ear",https://www.flipkart.com/ggkart-bm-k1-black-bluetooth-headset-pack-2/p/itm90eb64e998ea6?pid=ACCGF5VVF5P4YZ8V&lid=LSTACCGF5VVF5P4YZ8VZNN3PG&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_12&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVGW%2F8G4zRINdcT5TyYpSBSIA0EbQVnS3nF7LdYs6sp9%2BQ%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,399",4.2,"Navy Blue, In the Ear",https://www.flipkart.com/boat-rockerz-255-pro-asap-charge-upto-40-hours-playback-bluetooth-headset/p/itmc0a280218bd0d?pid=ACCFZ95MY8SGZQRT&lid=LSTACCFZ95MY8SGZQRTXMMJSQ&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_13&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCFZ95MY8SGZQRT.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,399",4.3,"Teal Green, In the Ear",https://www.flipkart.com/boat-rockerz-255-pro-asap-charge-upto-40-hours-playback-bluetooth-headset/p/itm569e59dc49154?pid=ACCFZ95MTQSX7NFD&lid=LSTACCFZ95MTQSX7NFDPI4HH2&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_14&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCFZ95MTQSX7NFD.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹499,4.1,"Green, In the Ear",https://www.flipkart.com/aroma-nb119-titanium-48-hours-playtime-bluetooth-neckband-headset/p/itmad2e355653856?pid=ACCGDSSU8BNHKN8G&lid=LSTACCGDSSU8BNHKN8GFNXZ1Y&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_15&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGDSSU8BNHKN8G.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"WeCool N1 Neckband with 25 hours Playback,Fastcharging ...",₹664,4,"Black, In the Ear",https://www.flipkart.com/wecool-n1-neckband-25-hours-playback-fastcharging-13mm-driver-magnetic-earbuds-bluetooth-headset/p/itm84bdbe8ad2687?pid=ACCGHU82Y2GJVVYR&lid=LSTACCGHU82Y2GJVVYR8KOYIN&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_16&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVEpg2P7aVdcJ4UM2KnTBkXaQvtRQMWBc6WVA4YtKLZJLQ%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
